source,target,value
CN,US,122
US,DE,120
CA,US,73
US,GB,56
US,FR,42
US,AT,38
CN,DE,30
US,KR,25
FR,US,24
AT,DE,22
US,CH,20
CA,FR,20
US,AU,19
NO,AT,19
NL,US,18
US,BR,16
NL,DE,15
IL,US,15
GB,DE,14
CA,DE,14
NL,FR,13
CN,GB,13
CA,GB,11
FR,DE,11
SA,US,10
DE,AT,10
CN,SG,10
NL,GB,10
US,JP,9
FR,AT,9
AT,US,9
NL,AT,8
SE,US,8
DE,GB,8
CN,AT,7
IT,US,7
SA,AT,7
NL,FI,7
CH,DE,7
SG,US,7
FR,AU,7
FR,GB,6
CN,CA,6
CH,AT,6
IN,US,6
SE,DE,6
CN,FR,6
GB,AU,6
NO,US,6
US,HR,6
HR,AT,6
AT,CH,5
US,ES,5
NO,HR,5
DE,US,5
IL,DE,5
ES,DE,4
FI,AT,4
KR,US,4
CA,AT,4
CN,AU,4
SA,DE,4
CN,IL,4
FR,DK,4
CN,NL,4
GB,US,4
GB,AT,4
FI,GB,4
AT,GB,4
US,NZ,3
CZ,US,3
CZ,NO,3
CZ,AT,3
KR,GB,3
FR,BR,3
DE,CH,3
NO,DE,3
AT,FI,3
CA,BR,3
KR,DE,2
SA,FR,2
CA,DK,2
AU,US,2
BG,US,2
CH,US,2
AR,AT,2
CN,CH,2
AU,FR,2
CA,KR,2
AE,DE,2
NL,DK,2
IT,DE,2
US,CA,2
GB,CA,2
IT,FR,2
PE,US,2
US,DK,2
NO,GB,2
AU,DE,2
CA,AU,2
FR,CH,2
SE,GB,2
GB,DK,2
NL,BR,2
RU,DE,2
IT,CH,2
AT,FR,2
SK,AT,2
SG,AT,1
CN,JP,1
IL,AT,1
CN,BR,1
NO,SA,1
SK,DE,1
CZ,AR,1
SE,FR,1
CH,CA,1
CN,AE,1
CH,GB,1
CH,AU,1
DE,PL,1
NL,CH,1
ES,KR,1
AE,US,1
NL,CA,1
FI,US,1
CZ,NL,1
DK,CH,1
FI,FR,1
AE,SA,1
CN,KR,1
BE,US,1
SE,FI,1
CH,PL,1
NZ,GB,1
FI,DK,1
US,IQ,1
SK,US,1
RU,AU,1
JP,DE,1
BM,US,1
IT,AT,1
DE,CN,1
NL,CN,1
TW,JP,1
HU,US,1
US,RU,1
DK,AT,1
CH,FR,1
ES,AT,1
DK,DE,1
DK,GB,1
FI,DE,1
GB,FI,1
US,FI,1
TR,GB,1
NO,TR,1
MY,GB,1
SE,NZ,1
BE,AT,1
GB,JP,1
BE,AU,1
AT,AU,1
SA,KR,1
NO,CH,1
NZ,AU,1
SG,CH,1
PL,US,1
PL,GB,1
ZA,DE,1
NO,ES,1
BE,CH,1
BR,DE,1
GB,CN,1
CH,DK,1
AT,SA,1
AR,CH,1
US,AR,1
SG,IN,1
CN,IN,1
DE,FR,1
IN,GB,1
US,CN,1
IT,BE,1
DE,AU,1
CN,TW,1
AU,KR,1
IE,DE,1
GB,KR,1
IE,US,1
CZ,GB,1
FR,KR,1
GB,FR,1
